                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  1.681,                 1.3615,                 1.1362,                0.66973,                0.53037,                0.51654,                0.30917,                 1.4977,                 1.2352,                 1.0698,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.7272,                 1.3391,                 1.1354,                0.67342,                0.54673,                0.52517,                0.31355,                 1.4947,                 1.1685,                 1.0762,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.8309,                 1.3299,                 1.1118,                0.66417,                0.54988,                0.49475,                0.28005,                  1.495,                 1.2834,                 1.0658,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.7101,                  1.298,                 1.0747,                0.59476,                0.55553,                0.46421,                  0.259,                 1.5104,                 1.2727,                 1.0546,               0.001505,               0.001505,               0.001505
                     28,                 1.8036,                 1.3702,                 1.1095,                0.71603,                0.49065,                0.48173,                0.27664,                 1.4494,                 1.1845,                 1.0467,              0.0014852,              0.0014852,              0.0014852
                     29,                  1.757,                 1.4121,                 1.1343,                0.70006,                0.51636,                0.52492,                 0.3067,                 1.4139,                 1.1335,                  1.056,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.6988,                 1.3015,                 1.0981,                0.71256,                0.52707,                0.54651,                0.33017,                  1.408,                 1.1003,                 1.0384,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.7394,                 1.3827,                 1.0999,                0.71046,                0.52103,                0.53161,                0.31694,                  1.449,                  1.142,                 1.0387,              0.0014258,              0.0014258,              0.0014258
                     32,                  1.658,                 1.2942,                  1.074,                0.65175,                0.56542,                 0.5106,                0.30566,                 1.4098,                 1.1296,                 1.0368,               0.001406,               0.001406,               0.001406
                     33,                 1.6756,                 1.2607,                 1.0734,                0.64319,                0.56858,                0.50198,                 0.2998,                 1.3796,                  1.097,                 1.0439,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.7355,                 1.3617,                  1.091,                0.68985,                0.53972,                0.50188,                0.29698,                 1.3902,                 1.1066,                 1.0472,              0.0013664,              0.0013664,              0.0013664
                     35,                  1.667,                  1.388,                 1.0795,                0.67716,                0.55607,                0.50309,                0.29301,                 1.4354,                 1.0999,                 1.0485,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.6581,                 1.2237,                 1.0651,                0.70624,                0.55049,                0.53426,                0.32499,                 1.4147,                 1.1074,                 1.0477,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.6967,                 1.3053,                 1.0533,                0.71556,                0.55607,                0.55714,                0.33849,                 1.4306,                 1.1008,                 1.0397,               0.001307,               0.001307,               0.001307
                     38,                 1.6651,                 1.2441,                 1.0762,                0.73214,                0.54907,                0.56998,                0.34489,                 1.3746,                 1.0402,                  1.027,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.6705,                 1.2809,                 1.0924,                0.72728,                0.55607,                0.56007,                0.33526,                 1.3583,                 1.0499,                 1.0205,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.6051,                 1.2078,                 1.0484,                0.73153,                0.53505,                0.53966,                0.32522,                 1.3705,                 1.0648,                 1.0225,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.6124,                 1.2295,                 1.0677,                0.73083,                0.55841,                0.55795,                0.33756,                 1.3713,                 1.0487,                 1.0193,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.6374,                 1.2363,                 1.0641,                0.72672,                0.54673,                0.55792,                0.32992,                 1.4077,                 1.0732,                 1.0157,               0.001208,               0.001208,               0.001208
                     43,                 1.5985,                 1.2475,                  1.063,                0.74222,                0.54907,                0.56627,                0.34498,                 1.3675,                 1.0102,                 1.0125,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.6281,                 1.2731,                 1.0686,                0.69994,                0.58178,                0.56896,                 0.3459,                 1.3641,                 1.0004,                 1.0122,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.5518,                 1.1494,                 1.0454,                0.70177,                0.56776,                 0.5518,                0.33917,                 1.3695,                 1.0051,                 1.0155,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.6027,                 1.1998,                 1.0442,                 0.7064,                0.57009,                 0.5334,                0.32325,                 1.3802,                 1.0139,                 1.0198,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.6138,                 1.2468,                 1.0717,                0.70208,                0.57944,                  0.548,                 0.3345,                 1.3391,                 1.0162,                 1.0202,               0.001109,               0.001109,               0.001109
                     48,                 1.6247,                 1.2168,                  1.083,                0.73673,                0.55374,                0.55517,                0.34039,                 1.3327,                 1.0187,                 1.0189,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.507,                 1.1235,                  1.044,                0.73459,                0.55613,                0.55565,                0.34415,                 1.3447,                 1.0118,                 1.0247,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.6331,                 1.2351,                 1.0844,                0.70056,                 0.5771,                0.53687,                0.31536,                 1.4233,                 1.0356,                 1.0329,              0.0010496,              0.0010496,              0.0010496
                     51,                   1.59,                 1.1704,                 1.0561,                0.66781,                0.58645,                0.50554,                0.29323,                 1.4214,                  1.066,                 1.0358,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.5587,                  1.114,                 1.0608,                0.69403,                0.58879,                0.52839,                0.31108,                 1.4066,                 1.0265,                 1.0409,                0.00101,                0.00101,                0.00101
                     53,                  1.604,                 1.1383,                 1.0703,                0.69911,                0.58178,                0.53999,                0.32524,                 1.3769,                 1.0101,                 1.0393,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.6327,                 1.1958,                 1.0397,                0.70427,                0.57312,                0.56204,                0.33261,                 1.3762,                 1.0145,                 1.0315,              0.0009704,              0.0009704,              0.0009704
                     55,                  1.703,                  1.211,                 1.0896,                0.67891,                0.58411,                 0.5626,                0.33316,                 1.4093,                 1.0079,                 1.0325,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.5308,                 1.0754,                 1.0579,                0.66451,                0.58645,                0.56241,                0.33107,                 1.4047,                 1.0023,                  1.028,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.6128,                 1.1843,                 1.0832,                0.65174,                0.59346,                0.55872,                0.33523,                 1.3801,                 0.9902,                 1.0228,               0.000911,               0.000911,               0.000911
                     58,                 1.5431,                 1.1449,                 1.0472,                0.65774,                0.58178,                0.57011,                0.34949,                 1.3254,                0.96859,                 1.0127,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.5412,                 1.1545,                 1.0653,                0.68216,                 0.5771,                0.57879,                0.35077,                 1.3123,                0.96938,                 1.0108,              0.0008714,              0.0008714,              0.0008714
                     60,                  1.525,                 1.0852,                 1.0492,                 0.7247,                0.56776,                0.58168,                0.35793,                 1.3031,                0.96884,                  1.013,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.5642,                 1.1815,                 1.0764,                0.67923,                0.58645,                 0.5567,                0.34359,                 1.3132,                 0.9736,                 1.0137,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.5463,                 1.1209,                 1.0053,                 0.6532,                0.59409,                 0.4989,                0.29027,                 1.3506,                0.99273,                  1.015,               0.000812,               0.000812,               0.000812
                     63,                  1.536,                 1.1067,                 1.0439,                0.68723,                0.58411,                 0.5443,                0.32941,                 1.3281,                 0.9535,                  1.016,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.5062,                 1.1022,                 1.0532,                0.71163,                0.58178,                0.57949,                0.36115,                 1.2913,                0.91704,                 1.0114,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.5463,                 1.1405,                 1.0605,                0.73126,                0.57477,                0.58444,                0.36797,                 1.2727,                0.90778,                 1.0142,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.5752,                 1.1122,                 1.0454,                0.71795,                0.57944,                0.58041,                0.35673,                 1.3206,                0.92948,                 1.0205,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.5678,                 1.1212,                 1.0294,                0.69673,                0.58411,                0.55317,                 0.3363,                 1.3184,                0.94718,                 1.0194,               0.000713,               0.000713,               0.000713
                     68,                 1.5382,                  1.133,                 1.0371,                0.64564,                0.59813,                0.49029,                0.29897,                 1.3038,                0.96491,                 1.0164,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.4887,                 1.0448,                 1.0577,                0.65547,                 0.6001,                0.48262,                  0.294,                 1.2964,                0.97231,                 1.0165,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.5357,                 1.0632,                 1.0411,                0.66378,                0.59579,                0.52868,                0.32966,                 1.3162,                0.96162,                 1.0173,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.4707,                 1.0028,                 1.0111,                0.69199,                0.59112,                0.54825,                0.33552,                 1.3556,                0.95461,                 1.0178,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.5933,                 1.1123,                 1.0106,                0.68367,                0.58645,                0.54389,                0.32864,                 1.4228,                0.96937,                 1.0252,               0.000614,               0.000614,               0.000614
                     73,                 1.5283,                 1.0292,                 1.0358,                0.67979,                0.59027,                0.54488,                0.32696,                 1.4122,                0.95868,                 1.0225,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.5494,                 1.0436,                 1.0171,                0.70346,                0.59859,                 0.5736,                0.35278,                 1.3225,                 0.9336,                 1.0152,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.5898,                 1.0957,                 1.0385,                0.70052,                0.59813,                0.56906,                0.35572,                 1.3017,                0.93051,                 1.0167,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.4723,                  1.011,                 1.0383,                 0.7083,                0.59579,                0.56958,                0.35632,                 1.2873,                0.93063,                 1.0157,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.5333,                 1.1074,                 1.0334,                0.71435,                0.59346,                0.56563,                0.35312,                 1.2779,                0.93312,                 1.0103,               0.000515,               0.000515,               0.000515
                     78,                 1.4784,                 1.0185,                 1.0645,                0.72565,                0.59346,                0.56616,                0.35198,                 1.2699,                0.93621,                 1.0056,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.5213,                 1.0481,                 1.0204,                0.70455,                0.59059,                0.56901,                0.35656,                 1.2796,                0.93309,                 1.0076,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.5073,                 1.0475,                 1.0458,                0.70126,                0.59112,                0.57094,                 0.3617,                 1.2839,                0.92652,                 1.0104,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.5571,                 1.1101,                 1.0308,                0.68839,                0.58879,                0.57274,                  0.365,                 1.2799,                0.91792,                 1.0116,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.5215,                 1.0675,                 1.0557,                0.68773,                0.58879,                0.57085,                0.37052,                 1.2489,                0.90625,                  1.005,               0.000416,               0.000416,               0.000416
                     83,                 1.4651,                 1.0087,                 1.0127,                0.68567,                0.59579,                 0.5717,                0.37067,                 1.2358,                0.90484,                0.99873,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.5101,                 1.0301,                 1.0205,                0.67786,                0.59346,                0.56194,                0.36362,                 1.2597,                 0.9102,                0.99955,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.5037,                 1.0055,                 1.0084,                0.67782,                0.59477,                0.55754,                0.35583,                 1.2864,                 0.9167,                 1.0016,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.4302,                 0.9957,                0.99813,                0.69876,                0.59074,                0.56107,                 0.3576,                 1.2812,                0.91149,                  1.002,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.4629,                 1.0422,                 1.0196,                0.71555,                0.57944,                0.56057,                0.36182,                 1.2657,                 0.9152,                 1.0016,               0.000317,               0.000317,               0.000317
                     88,                 1.3636,                0.97533,                 1.0309,                0.72446,                0.57944,                0.56311,                0.36252,                 1.2573,                0.90764,                 1.0003,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.4812,                 1.0198,                 1.0164,                0.72566,                0.58712,                0.56986,                0.36329,                 1.2643,                0.90864,                 1.0023,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.4688,                 1.0279,                 1.0188,                  0.708,                0.58411,                0.56435,                 0.3623,                 1.2612,                0.90404,                 1.0032,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.3848,                 1.1387,                 1.0969,                0.69897,                0.58178,                 0.5604,                0.36051,                 1.2471,                0.90297,                 1.0005,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.3988,                 1.0349,                 1.0197,                0.71202,                0.57243,                 0.5598,                0.35913,                 1.2444,                0.90576,                 0.9983,               0.000218,               0.000218,               0.000218
                     93,                 1.4119,                 1.0154,                 1.0473,                0.70092,                0.57495,                0.55971,                 0.3582,                  1.257,                0.90945,                0.99849,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.3837,                0.96789,                 1.0511,                0.70023,                0.57306,                0.56125,                0.35214,                 1.2849,                0.91849,                 1.0008,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.4285,                0.97837,                 1.0107,                0.70679,                0.57447,                0.56372,                0.35186,                  1.284,                0.91882,                 1.0005,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.3225,                0.96317,                 1.0363,                0.70618,                0.57477,                 0.5659,                0.35689,                 1.2721,                0.91624,                0.99896,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.3798,                0.95566,                 1.0287,                0.70298,                0.57243,                0.56486,                0.36033,                 1.2583,                0.91012,                0.99576,               0.000119,               0.000119,               0.000119
                     98,                 1.3499,                0.94432,                0.99772,                0.70128,                 0.5771,                0.56798,                0.36394,                 1.2442,                0.90064,                0.99503,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.3035,                0.90802,                 1.0214,                0.70414,                 0.5771,                0.56852,                0.36584,                 1.2402,                0.89404,                0.99481,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.3286,                0.91271,                  1.017,                0.70702,                0.58074,                 0.5692,                0.36568,                 1.2368,                0.89261,                0.99492,               5.96e-05,               5.96e-05,               5.96e-05
