                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9655,                 3.8036,                  1.742,                 0.0155,                0.21729,                0.01251,                0.00585,                 2.3175,                 3.6025,                 1.3381,                0.00018,                0.00018,                0.00018
                      2,                 2.4121,                 2.8662,                 1.3453,                0.03267,                0.45794,                0.10647,                0.04961,                 2.1201,                 3.1283,                 1.1415,             0.00037624,             0.00037624,             0.00037624
                      3,                 2.2201,                 2.0433,                 1.1841,                0.02283,                0.32009,                0.03854,                0.01653,                 2.2728,                 2.9254,                 1.1756,             0.00056852,             0.00056852,             0.00056852
                      4,                 2.1044,                  1.844,                 1.1621,                 0.0305,                0.42757,                0.21177,                0.09566,                 1.9112,                 2.6281,                 1.1041,             0.00075683,             0.00075683,             0.00075683
                      5,                   1.94,                 1.7642,                 1.1805,                0.03783,                0.53037,                0.37553,                0.18404,                 1.7987,                 2.4541,                 1.0855,             0.00094119,             0.00094119,             0.00094119
                      6,                 1.9962,                 1.7188,                 1.1528,                0.04784,                0.57009,                0.41113,                0.22505,                 1.5778,                 2.2897,                 1.0514,              0.0011216,              0.0011216,              0.0011216
                      7,                 1.8918,                 1.6247,                 1.1208,                0.66341,                0.29439,                0.32811,                0.15682,                 1.7145,                 2.2638,                   1.06,               0.001298,               0.001298,               0.001298
                      8,                 2.1433,                 1.8636,                 1.1454,                0.48791,                 0.2243,                 0.2335,                0.11073,                 1.7842,                 2.3271,                 1.0962,              0.0014705,              0.0014705,              0.0014705
                      9,                 1.9993,                 1.6816,                 1.1661,                0.65824,                0.31308,                0.33981,                0.15138,                 1.8018,                 2.0678,                 1.1341,               0.001639,               0.001639,               0.001639
                     10,                 2.1457,                  1.684,                 1.2028,                0.79236,                0.21028,                0.28391,                0.15124,                  1.729,                 2.3122,                 1.1135,              0.0018036,              0.0018036,              0.0018036
                     11,                 1.8793,                 1.5359,                 1.1441,                0.79566,                0.25474,                0.33369,                0.17623,                 1.8085,                 2.1167,                 1.1169,               0.001802,               0.001802,               0.001802
                     12,                 1.8929,                 1.6103,                 1.1488,                0.71786,                0.44393,                0.46221,                0.24522,                  1.721,                 1.4938,                 1.1089,               0.001802,               0.001802,               0.001802
                     13,                 1.8497,                  1.553,                 1.1317,                0.70854,                0.50701,                0.51266,                0.26425,                 1.7421,                 1.2546,                 1.1404,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.0773,                 1.8801,                 1.1496,                 0.7235,                0.50467,                0.50283,                0.25406,                 1.7726,                 1.4289,                 1.1319,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.0969,                 1.7473,                 1.1844,                0.68246,                0.50935,                0.48094,                0.25548,                 1.6842,                 1.3739,                 1.0953,              0.0017426,              0.0017426,              0.0017426
                     16,                  1.854,                 1.5526,                 1.1241,                0.68288,                0.50935,                0.49509,                0.28271,                 1.5314,                 1.2794,                 1.0461,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.9562,                 1.7046,                 1.1299,                0.65471,                0.50234,                0.48943,                0.27295,                 1.5025,                 1.3079,                 1.0323,               0.001703,               0.001703,               0.001703
                     18,                 1.9847,                 1.6091,                 1.1522,                0.59348,                0.47664,                0.46801,                 0.2658,                 1.5228,                  1.458,                 1.0477,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.8617,                 1.4452,                 1.1414,                0.64613,                0.47196,                0.49254,                0.27343,                 1.6097,                 1.3456,                 1.0727,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.7956,                 1.4063,                 1.1592,                0.70297,                0.49766,                0.51647,                0.28322,                 1.5822,                 1.2491,                 1.0732,              0.0016436,              0.0016436,              0.0016436
                     21,                  1.892,                 1.4855,                 1.1528,                0.65094,                 0.4967,                 0.4795,                0.26908,                 1.5316,                 1.2898,                 1.0671,              0.0016238,              0.0016238,              0.0016238
                     22,                   1.77,                 1.5225,                 1.1488,                0.62586,                0.50419,                0.46469,                0.26541,                 1.4962,                 1.3676,                 1.0557,               0.001604,               0.001604,               0.001604
                     23,                 1.8012,                   1.43,                 1.1054,                0.60521,                0.50234,                 0.4631,                0.26594,                 1.4946,                 1.3875,                 1.0646,              0.0015842,              0.0015842,              0.0015842
