                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.646,                 1.3113,                 1.0521,                0.63526,                0.59579,                0.54644,                0.32304,                 1.3951,                 1.0772,                 1.0203,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.6119,                 1.1468,                 1.0381,                 0.6486,                0.57243,                0.53234,                0.32135,                 1.3835,                 1.0767,                 1.0199,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.6581,                 1.2302,                 1.0346,                0.62697,                0.57009,                0.51894,                0.31367,                 1.3905,                 1.1081,                 1.0175,               0.000614,               0.000614,               0.000614
                     38,                 1.6129,                  1.183,                 1.0487,                 0.6804,                0.58694,                0.54639,                0.32866,                 1.3871,                 1.0615,                 1.0179,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.6608,                 1.2362,                 1.0721,                0.69797,                0.59579,                0.55285,                0.33554,                 1.3536,                 1.0258,                 1.0168,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.5557,                 1.1652,                 1.0278,                0.68467,                0.59863,                0.55378,                0.33606,                 1.3376,                  1.012,                 1.0159,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.5858,                 1.2743,                 1.1065,                0.68487,                0.59409,                0.55549,                0.33546,                 1.3441,                 1.0142,                 1.0172,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.5959,                 1.2497,                 1.0697,                0.68266,                0.58305,                0.54843,                0.32474,                 1.3395,                 1.0543,                 1.0072,               0.000416,               0.000416,               0.000416
                     43,                  1.555,                 1.1972,                 1.0737,                0.67926,                0.57398,                0.54996,                0.32369,                 1.3495,                 1.0488,                 1.0073,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.5201,                 1.1948,                 1.0638,                0.68836,                  0.578,                0.55961,                0.33637,                 1.3516,                 1.0163,                 1.0078,              0.0003368,              0.0003368,              0.0003368
                     45,                  1.509,                 1.1334,                 1.0596,                0.71508,                0.56542,                0.56526,                0.34381,                  1.361,                0.99508,                 1.0098,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.5153,                 1.4789,                 1.1448,                0.73374,                0.57009,                0.57054,                  0.351,                 1.3535,                0.98114,                 1.0107,              0.0002576,              0.0002576,              0.0002576
                     47,                   1.49,                 1.0941,                   1.04,                 0.7449,                0.57243,                0.57574,                0.35228,                 1.3433,                 0.9806,                 1.0095,               0.000218,               0.000218,               0.000218
                     48,                 1.5665,                 1.3749,                 1.1309,                0.75385,                0.57477,                 0.5815,                0.35473,                 1.3315,                0.97903,                 1.0078,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.4816,                 1.0901,                 1.0523,                0.75076,                0.57009,                0.57873,                 0.3556,                 1.3271,                0.98094,                 1.0057,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.4445,                 1.0958,                  1.069,                0.76532,                0.56776,                0.57971,                 0.3569,                 1.3161,                0.97853,                 1.0039,               9.92e-05,               9.92e-05,               9.92e-05
